,Date,Timestamp,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,Total,solana,Total,Total,Total,Total,solana,solana,solana,solana,Total,Total,Total,Total,solana,solana,solana,solana
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator
,10/06/2022,1654819200,74243.2051544228,,18143.171583526917,4378.947574430475,21085.338767774425,30635.747228690987,,,,,2401656.7189,4370.207160110254,21089.78871319291,87920066.66291,,,,
,11/06/2022,1654905600,66873.16498608244,,15866.08879863626,3975.345658307055,21489.192762230505,25542.537766908612,,,,,2401656.7189,3971.3742840230325,21489.192762230505,87920066.66291,,,,
,12/06/2022,1654992000,66620.88170281722,,15687.093323376643,3715.2629225760124,21767.42455928537,25451.10089757919,,,,,2401656.7189,3715.2629225760124,21745.67888040497,87920066.66291,,,,
,13/06/2022,1655078400,64785.26836424936,,15355.904861840334,3946.9979467229246,21551.402610708625,23930.962944977473,,,,,2401656.7189,3931.2728553017178,21529.872737970658,87920066.66291,,,,
,14/06/2022,1655164800,65999.9067511498,,13342.427918416139,3181.3363513864665,22353.681116506086,27122.461364841107,,,,,2401656.7189,3178.1581931932737,22286.820654542462,87920066.66291,,,,
,15/06/2022,1655251200,61561.09291985184,,9827.771426276313,4160.772804080021,21355.664011282373,26216.884678213133,,,,,2401656.7189,4148.327820618167,21334.329681600775,87920066.66291,,,,
,16/06/2022,1655337600,58230.79417481918,,8989.040850334866,3390.962638765485,22139.627907398626,23711.1627783202,,,,,2401656.7189,3374.092177876105,22117.510397001628,87920066.66291,,,,
,17/06/2022,1655424000,55795.98820124179,,8339.152542200525,3366.8558698081497,22148.647952837295,21941.33183639582,,,,,2401656.7189,3366.8558698081497,22126.52143140589,87920066.66291,,,,
,18/06/2022,1655510400,54781.01443324078,,8115.486251969369,3387.0551432290204,22111.716988946806,21166.756049095584,,,,,2401656.7189,3383.6714717572636,22112.756288492365,87920066.66291,,,,
,19/06/2022,1655596800,54104.67705876171,,6526.358034207616,3206.294376956469,22297.05430987418,22074.97033772344,,,,,2401656.7189,3199.8945877809074,22297.05430987418,87920066.66291,,,,
,20/06/2022,1655683200,55048.94702974591,,7535.486154355018,3578.589256884672,21924.962130113337,22009.90948839289,,,,,2401656.7189,3567.8856000844194,21928.75580486758,87920066.66291,,,,
,21/06/2022,1655769600,56361.358964040075,,8645.171641322764,3647.147924520735,21837.571341813145,22231.468056383423,,,,,2401656.7189,3639.8681881444463,21856.870958869826,87920066.66291,,,,
,22/06/2022,1655856000,55781.4904748478,,7579.628604848401,3796.1193521847354,21697.747700118267,22707.994817696395,,,,,2401656.7189,3788.5422676494363,21708.189339190416,87920066.66291,,,,
,23/06/2022,1655942400,65057.30551216197,,7608.352419206445,3782.992001190362,21694.708050464567,31971.25304130059,,,,,2401656.7189,3789.153164235409,21707.66752797877,87920066.66291,,,,
