,Date,Timestamp,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX
,19/07/2022,1658188800,197332292.53945455,202903206.12246338,295054242.4180059,213028080.05133528,92151036.29554251,15695787.51188073,197332292.53945455,35440003.27880992,69903190.88845748,62989911.729365975,2304946.57769773,3606888.2657575794,4014601.3380979165,0.6636383566938757,6892379.795857483,17751283.584780928,49581450.04916312,84569790.73596774,114483873.07314819,2304946.57769773,3606888.2657575794,4014601.3380979165,44.60605786632425,6892379.795857483,17751283.584780928,11848984.3914773,,,,,,213028080.05133528,43.942419509630376,14666599.847510269,14141446.770353202,11848984.3914773,51493961.34378222,,,,,,15695787.51188073,6236798.120716009,1583.83997492,44423.31188854483,62738955.905743,311058.91736811475,3596099.96586,567836.115713991,0.6629753813125633,6904573.272256288,17662968.741075553,2215.83169687,53743.901279236234,114027762.025048,311058.91736811475,3596099.96586,567836.115713991,44.561496369954305,6904573.272256288,17662968.741075553,496604.5428112867,,,,,,6732872.31514966,43.89852098864174,9320.589390691403,631.99172195,496604.5428112867,51288806.119305,,,,,,496074.19443365134
,20/07/2022,1658275200,175936173.39725307,203141223.6160404,295697267.71190894,189799805.85167927,92556044.09586856,13863632.454426212,175936173.39725307,36227730.65336954,68055018.88688235,64234614.31316442,2269443.453105822,3628145.3339037,3998778.6315021636,0.6649643074565009,7081925.525308515,17645566.153839566,50111362.58839226,82185801.6291683,116339476.75614074,2269443.453105822,3628145.3339037,3998778.6315021636,44.695180859064166,7081925.525308515,17645566.153839566,12436722.945367038,,,,,,189799805.85167927,44.030216551607666,14130782.74228595,13883631.93502272,12436722.945367038,52104862.44297631,,,,,,13863632.454426212,6256620.67557799,1575.18721046,44186.11917158425,63978699.515104,312165.53687837993,3620903.52685,557709.7115065779,0.6629753813125633,7074850.674633882,17540324.208588038,2178.84962774,53360.82017748998,115875972.86468199,312165.53687837993,3620903.52685,557709.7115065779,44.561496369954305,7074850.674633882,17540324.208588038,496475.9658829157,,,,,,6749637.476944498,43.89852098864174,9174.701005905732,603.66241728,496475.9658829157,51897273.34957799,,,,,,493016.80136650824
,21/07/2022,1658361600,177428605.0066861,192429216.01614475,275851384.453275,191391279.99185067,83422168.43713029,13962674.985164596,177428605.0066861,34654926.19475674,62477211.82878988,61278786.21923693,2103330.7433885755,3619439.1029685694,3702454.007953324,0.6623615120687483,6971653.971350347,17621413.28533889,47439485.947451055,74021091.64594154,109004848.4746021,2103330.7433885755,3619439.1029685694,3702454.007953324,44.51957399246018,6971653.971350347,17621413.28533889,11367622.754706653,,,,,,191391279.99185067,43.85721248039143,11543879.817151655,12784559.752694318,11367622.754706653,47726062.25536518,,,,,,13962674.985164596,6251888.830397678,1493.36060479,41001.733745112375,61352593.389084,306607.9800857982,3619895.209765,539716.3276899889,0.6629853813125633,6974387.931419463,17631463.219373934,2044.2767365099999,48577.60137418478,109136139.25012,306607.9800857982,3619895.209765,539716.3276899889,44.56150636995431,6974387.931419463,17631463.219373934,481883.1180460641,,,,,,6743878.787591638,43.89852098864174,7575.867629072402,550.91613172,481883.1180460641,47783545.861036,,,,,,491989.9571939604
,22/07/2022,1658448000,183128220.35064307,190532100.3369832,276021816.855785,197447850.2634342,85489716.51880184,14319629.912791131,183128220.35064307,34840910.27535976,65148041.30924501,61774329.83940672,2254946.600507003,3584211.6740514752,3771906.6444525328,0.6611092120912897,6865791.148433395,12291962.184418099,48465703.147734195,77029881.452029,109367720.92249337,2254946.600507003,3584211.6740514752,3771906.6444525328,44.43342195289069,6865791.148433395,12291962.184418099,12389648.64824401,,,,,,197447850.2634342,43.7723127407994,11881840.14278399,13624792.87237444,12389648.64824401,47593391.083086655,,,,,,14319629.912791131,6297394.097339858,1505.85254248,41879.14870549685,61802820.93986,309320.52133155044,3588428.077042,541163.0766789861,0.6630153813125633,6865791.148433395,12299341.789491795,2094.7271966,49517.15807975534,109418162.695496,309320.52133155044,3588428.077042,541163.0766789861,44.561536369954304,6865791.148433395,12299341.789491795,494399.3874000004,,,,,,6789816.033818233,43.89852098864174,7638.0093742584895,588.87465412,494399.3874000004,47615341.755636,,,,,,492421.9364783745
,23/07/2022,1658534400,168812659.55273092,193857095.39564884,278164383.3602882,182073597.3984828,84307287.96463938,13260937.845751887,168812659.55273092,35244363.2103992,68001646.5993301,62295967.23976256,2132779.41808791,3581360.7230411004,3800712.1444513425,0.6621495247838494,6804210.142100454,11996055.256326657,47030708.702885605,79801812.87643746,111575814.6848849,2132779.41808791,3581360.7230411004,3800712.1444513425,44.5026805671996,6804210.142100454,11996055.256326657,11440884.909392232,,,,,,182073597.3984828,43.84053104241575,11800166.277107364,11786345.4924864,11440884.909392232,49279847.44512234,,,,,,13260937.845751887,6284909.141948285,1548.52210942,42501.02912458131,62171623.991779,309547.0853538331,3577782.940101,555659.6702414243,0.6630253813125633,6804210.142100454,11984071.185141517,2066.3756020600003,49876.133047773415,111353108.467949,309547.0853538331,3577782.940101,555659.6702414243,44.56154636995431,6804210.142100454,11984071.185141517,483349.5948201196,,,,,,6778614.9440983925,43.89852098864174,7375.103923192102,517.85349264,483349.5948201196,49181484.47617,,,,,,493705.8021501075
,24/07/2022,1658620800,174429036.48526046,191543881.432424,275262446.7526876,188169931.87759727,83718565.3202636,13740895.39233682,174429036.48526046,35262101.010606185,66355208.63615491,61813347.697805,2171265.094041807,3594316.8082701876,3839030.444293162,0.6612630598490344,6719088.761684209,11789522.31830548,47171958.545804285,77820176.15416592,110635489.63620901,2171265.094041807,3594316.8082701876,3839030.444293162,44.443101779702964,6719088.761684209,11789522.31830548,11521554.54681176,,,,,,188169931.87759727,43.78183871985393,11464967.518011019,11909857.5351981,11521554.54681176,48822141.938404,,,,,,13740895.39233682,6274425.772851096,1562.41308922,42395.972626015035,61813347.697805,309738.24451380986,3590726.082188,556381.2238106031,0.6630253813125633,6722907.373072114,11790736.76419219,2090.12178412,49721.221977833105,110635489.63620901,309738.24451380986,3590726.082188,556381.2238106031,44.56154636995431,6722907.373072114,11790736.76419219,486552.1345781993,,,,,,6768702.5855250815,43.89852098864174,7325.249351818072,527.7086949,486552.1345781993,48822141.938404,,,,,,494276.8126739863
,25/07/2022,1658707200,179542978.91758427,192032458.98871267,276260695.27523834,193666043.61743036,84228236.28652568,14123064.699846098,179542978.91758427,33814808.405477755,68171853.40805525,62230806.84648227,2252646.298799952,3599975.80515183,4030618.541226415,0.6626806081142808,6353161.42470291,11578587.596135661,44874364.89148799,79945557.79320088,112485476.34986761,2252646.298799952,3599975.80515183,4030618.541226415,44.53837436584193,6353161.42470291,11578587.596135661,11140262.036290713,,,,,,193666043.61743036,43.87569375772765,11773704.38514563,11059556.48601024,11140262.036290713,50254669.503385335,,,,,,14123064.699846098,6301964.86197207,1511.74930282,43565.30042308716,62168638.208274,308581.68476711673,3589208.18061,582459.326766823,0.6630253813125633,6376429.014175637,11543955.728948817,2006.185841,51089.299595609,112373103.246621,308581.68476711673,3589208.18061,582459.326766823,44.56154636995431,6376429.014175637,11543955.728948817,484569.9015350462,,,,,,6797684.928656735,43.89852098864174,7523.999172521843,494.43653818,484569.9015350462,50204465.038347,,,,,,495720.06668466475
,26/07/2022,1658793600,163539071.67289096,187506968.85653,270186614.31579494,176435287.80223697,82679645.45926493,12896216.129345998,163539071.67289096,32473929.422412273,63631459.1122932,64217844.8320243,2199764.826920279,3598392.789039606,3772482.0982015133,0.6591818231770943,6334946.031063899,11278149.085393116,44601461.322723635,74515450.00007421,112750810.57678956,2199764.826920279,3598392.789039606,3772482.0982015133,44.30322308564768,6334946.031063899,11278149.085393116,11135113.282366067,,,,,,176435287.80223697,43.64404126247059,10883990.887781005,12127531.90031136,11135113.282366067,48532965.74476525,,,,,,12896216.129345998,6297230.330107469,1516.69372857,43798.58421022095,64025767.529436,308955.73411801667,3591210.368303,581276.1322344396,0.6630253813125633,6315998.036953041,11233216.220511071,2083.10967833,51290.21489246721,112413569.867188,308955.73411801667,3591210.368303,581276.1322344396,44.56154636995431,6315998.036953041,11233216.220511071,528984.0039128773,,,,,,6793811.6211874075,43.89852098864174,7491.630682246257,566.41594976,528984.0039128773,48387802.337752,,,,,,496581.29107993835
,27/07/2022,1658880000,163708571.0026338,187795498.90070665,268451968.3705965,176669695.89108935,80656469.46988991,12961124.88845554,163708571.0026338,32488854.63697748,63614182.74900552,64203490.37523821,2025227.163832337,3416544.0186437555,3739458.212060791,0.8135786402242681,6342454.994468508,11965285.936901405,44632904.61454807,76700343.45737794,107162736.34955887,2025227.163832337,3416544.0186437555,3739458.212060791,20281.71451091813,6342454.994468508,11965285.936901405,12446731.908693945,,,,,,176669695.89108935,20280.900932277906,13086160.708372423,12144049.977570591,12446731.908693945,42959245.974320665,,,,,,12961124.88845554,6303757.065946624,1534.01268412,44174.36843278835,64139351.024214,308723.6530232221,3413130.887756,593564.7955652049,0.813865120746771,6336118.875592916,11953332.604297109,2107.41322133,53261.53829840074,107055680.66889,308723.6530232221,3413130.887756,593564.7955652049,20288.856188296413,6336118.875592916,11953332.604297109,607453.9730938969,,,,,,6802837.731655347,20288.042323175665,9087.169865612383,573.40053721,607453.9730938969,42916329.644676,,,,,,499080.6657087232
,28/07/2022,1658966400,183113190.5069158,199547154.04990512,286097633.2284175,197589354.42882594,86550479.17851238,14476163.921910128,183113190.5069158,34961652.5289566,70179554.13068636,65935962.854341626,2487678.0305416645,3341623.2376086954,4074081.7227938427,0.809506873025172,6289758.299464368,12276842.43600509,48013282.77698945,84927060.60524094,114302125.29665662,2487678.0305416645,3341623.2376086954,4074081.7227938427,11962.391759431977,6289758.299464368,12276842.43600509,10373218.43135739,,,,,,197589354.42882594,11961.582252558952,14747506.474554589,13051630.248032851,10373218.43135739,48366162.442315,,,,,,14476163.921910128,6303380.051873177,1534.2806218,43433.85493735927,65950669.853719,309412.6903658787,3342214.80963,596498.0560459506,0.813865120746771,6295373.772869769,12281263.690933825,2107.04712235,52561.02972263609,114327620.35599601,309412.6903658787,3342214.80963,596498.0560459506,12026.795247984935,6295373.772869769,12281263.690933825,450421.9900719665,,,,,,6801698.947636005,12025.981382864189,9127.174785276826,572.76650055,450421.9900719665,48376950.502277,,,,,,498318.8957628271
,29/07/2022,1659052800,191775057.59877107,206780645.27138656,296182003.4836834,206686862.2780275,89401358.21229683,14911804.679256445,191775057.59877107,36408405.37134064,74614285.14632212,63827679.94021639,2852735.861053408,3262868.9487040914,4382372.212954626,0.8115740904318688,6235233.726124559,15197063.253096625,50085847.89375904,90244345.7481407,112240588.15818599,2852735.861053408,3262868.9487040914,4382372.212954626,4237.040586984436,6235233.726124559,15197063.253096625,11676710.641077377,,,,,,206686862.2780275,4236.229012894004,15630060.601818582,13677442.5224184,11676710.641077377,48412908.2179696,,,,,,14911804.679256445,6343865.616896165,1526.68590118,43260.42611265393,63913259.795082,307738.496338016,3266190.66461,592212.4612100846,0.813865120746771,6248367.7952301325,15222362.820103638,2100.2116694799997,52322.53909109081,112391079.814057,307738.496338016,3266190.66461,592212.4612100846,4249.001526280917,6248367.7952301325,15222362.820103638,475436.10102106584,,,,,,6837143.972147783,4248.18766116017,9062.112978436882,573.5257683,475436.10102106584,48477820.018975005,,,,,,493278.35525161907
,30/07/2022,1659139200,191848695.47224075,211932629.98461324,302673737.87951624,206467041.53738767,90741107.89490302,14618346.065146925,191848695.47224075,36563285.57901635,74026548.89732267,69690082.67486565,2765173.1677249423,2710689.516975232,4573258.3303684015,0.8135281805867818,6441685.776695518,15161905.228116333,50304755.18474315,89412888.81980452,119268394.46107285,2765173.1677249423,2710689.516975232,4573258.3303684015,3686.789029868582,6441685.776695518,15161905.228116333,12031300.604985492,,,,,,206467041.53738767,3685.9755016879953,15386339.922481842,13741469.6057268,12031300.604985492,49578311.7862072,,,,,,14618346.065146925,6346301.53728881,1529.52460067,42886.09650390626,69620462.212653,307241.46308054915,2714799.723757,577431.6073697477,0.813865120746771,6441975.665600469,15195167.449663647,2104.36122923,51799.926320188926,119149245.215857,307241.46308054915,2714799.723757,577431.6073697477,3688.315992689556,6441975.665600469,15195167.449663647,486900.064952873,,,,,,6829872.363128933,3687.502127568809,8913.82981628267,574.83662856,486900.064952873,49528783.003204,,,,,,483570.82584012323
