,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,ethereum,moonriver,solana,terra,Total,moonbeam,ethereum,ethereum,ethereum,moonriver,solana,terra,Total,Total,Total,Total,Total,Total,Total,moonbeam,ethereum,ethereum,ethereum,moonriver,solana,terra,Total,Total,Total,Total,Total,Total,Total,moonbeam
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,ethereum,WETH,MATIC,kusama,solana,terra-luna,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,polkadot,ethereum,WETH,MATIC,kusama,solana,terra-luna,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,polkadot
,24/02/2022,1645660800,5111905781.906112,,197978403.11675337,4873500585.441574,10183384770.46444,,,5111905781.906112,,,197978403.11675337,4873500585.441574,,4873500585.441574,5111905781.906112,197978403.11675337,,,,,,1968798.2029016858,,,2319878.171042341,81306316.073433,,81306316.073433,1968798.2029016858,2319878.171042341,,,,
,25/02/2022,1645747200,5124617769.52285,,205741186.00914085,5240425701.262834,10570784656.794823,,,5124617769.52285,,,205741186.00914085,5240425701.262834,,5240425701.262834,5124617769.52285,205741186.00914085,,,,,,1972835.5011848868,,,2310400.741259302,80263833.684528,,80263833.684528,1972835.5011848866,2310400.741259302,,,,
,26/02/2022,1645833600,5477363111.771988,,214863308.7070943,5857261824.418505,11549488244.897587,,,5477363111.771988,,,214863308.7070943,5857261824.418505,,5857261824.418505,5477363111.771988,214863308.7070943,,,,,,1975761.146699463,,,2314339.818042808,80313476.27065,,80313476.27065,1975761.146699463,2314339.818042808,,,,
,27/02/2022,1645920000,5515865729.979498,,208944353.29882964,6360846155.116357,12085656238.394686,,,5515865729.979498,,,208944353.29882964,6360846155.116357,,6360846155.116357,5515865729.979498,208944353.29882964,,,,,,1984966.9032105345,,,2318255.334503824,80405083.492812,,80405083.492812,1984966.9032105345,2318255.334503824,,,,
,28/02/2022,1646006400,5224654908.56181,,198205226.27177092,5755645688.399423,11178505823.233002,,,5224654908.56181,,,198205226.27177092,5755645688.399423,,5755645688.399423,5224654908.561809,198205226.27177092,,,,,,1988761.2942692519,,,2315481.615324427,79475913.951939,,79475913.951939,1988761.2942692516,2315481.615324427,,,,
,01/03/2022,1646092800,5920136684.369744,,229277391.22613838,7676349771.197835,13825763846.793716,,,5920136684.369744,,,229277391.22613838,7676349771.197835,,7676349771.197835,5920136684.369743,229277391.22613838,,,,,,2009926.0501348672,,,2324149.936402822,85511304.123848,,85511304.123848,2009926.050134867,2324149.936402822,,,,
,02/03/2022,1646179200,5966623954.470165,,233505094.84474057,7746400444.956545,13946529494.27145,,,5966623954.470165,,,233505094.84474057,7746400444.956545,,7746400444.956545,5966623954.470165,233505094.84474057,,,,,,2031516.1760248158,,,2360783.488471748,85699750.469704,,85699750.469704,2031516.1760248158,2360783.488471748,,,,
,03/03/2022,1646265600,6042773007.756786,,235061037.19009694,7758158573.767654,14035992618.714539,,,6042773007.756786,,,235061037.19009694,7758158573.767654,,7758158573.767654,6042773007.756786,235061037.19009694,,,,,,2039892.3160236254,,,2339381.341461952,83718124.244822,,83718124.244822,2039892.3160236254,2339381.341461952,,,,
,04/03/2022,1646352000,5709021083.317499,1354427.0288100154,218025257.1872397,7628291307.536155,13556692075.069702,,,5708716319.79772,304763.51977940026,1354427.0288100154,218025257.1872397,7628291307.536155,,7628291307.536155,5708716319.79772,218025257.1872397,1354427.0288100154,304763.51977940026,,,,2076606.6654775522,195361.23062782068,10367.628818202813,2337821.75838773,83314671.336131,,83314671.336131,2076606.6654775522,2337821.75838773,10367.628818202813,195361.23062782068,,
,05/03/2022,1646438400,5439419299.3184805,1229644.7064787426,202711755.81505153,6836703898.58479,12480064598.4248,,,5439131894.698511,287404.6199690935,1229644.7064787426,202711755.81505153,6836703898.58479,,6836703898.58479,5439131894.698511,202711755.81505153,1229644.7064787426,287404.6199690935,,,,2081470.3858600107,196852.47943088596,10429.556458683144,2334582.008695745,83313476.707102,,83313476.707102,2081470.3858600107,2334582.008695745,10429.556458683144,196852.47943088596,,
,06/03/2022,1646524800,5600876841.201839,1297391.354984307,212445822.10283938,7218922602.406021,13033542657.065683,,,5600216511.276072,660329.9257677005,1297391.354984307,212445822.10283938,7218922602.406021,,7218922602.406021,5600216511.276072,212445822.10283938,1297391.354984307,660329.9257677005,,,,2095701.1762701224,434427.58274190826,10500.941764340809,2369460.429431624,82445438.583897,,82445438.583897,2095701.1762701224,2369460.429431624,10500.941764340809,434427.58274190826,,
,07/03/2022,1646611200,5358189735.889229,1253591.0772908689,205915630.92045838,6555346230.675424,12120705188.562403,,,5357539193.269566,650542.6196632097,1253591.0772908689,205915630.92045838,6555346230.675424,,6555346230.675424,5357539193.269566,205915630.92045838,1253591.0772908689,650542.6196632097,,,,2109558.086062869,454924.9088553914,10555.66754202483,2431691.437416844,82477934.457416,,82477934.457416,2109558.086062869,2431691.437416844,10555.66754202483,454924.9088553914,,
,08/03/2022,1646697600,5372385122.262545,1294199.0341668252,201570714.55152053,6604462517.255314,12179712553.103546,,,5371672553.633413,712568.6291313741,1294199.0341668252,201570714.55152053,6604462517.255314,,6604462517.255314,5371672553.633413,201570714.55152053,1294199.0341668252,712568.6291313741,,,,2130424.069720281,498299.7406513106,10564.027705222636,2441505.747959309,82638419.885577,,82638419.885577,2130424.069720281,2441505.747959309,10564.027705222636,498299.7406513106,,
,09/03/2022,1646784000,5596563296.555503,1350939.0843905068,203642215.82062235,7689350598.170478,13490907049.630993,,,5595749202.038392,814094.5171105476,1350939.0843905068,203642215.82062235,7689350598.170478,,7689350598.170478,5595749202.038392,203642215.82062235,1350939.0843905068,814094.5171105476,,,,2168079.9087313656,561444.4945589984,10830.907435184052,2454703.662254368,87657895.555979,,87657895.555979,2168079.9087313656,2454703.662254368,10830.907435184052,561444.4945589984,,
,10/03/2022,1646870400,6017631284.505212,1479974.7299754205,219249323.37103075,8725128791.094671,14963489373.700888,,,6016719026.648664,912257.856547689,1479974.7299754205,219249323.37103075,8725128791.094671,,8725128791.094671,6016719026.648664,219249323.37103075,1479974.7299754205,912257.856547689,,,,2205897.955186564,604144.2758593967,10974.970188916726,2493169.472038103,87645693.53184,,87645693.53184,2205897.955186564,2493169.472038103,10974.970188916726,604144.2758593967,,
,11/03/2022,1646956800,5699389272.748599,1432815.2576059878,205446552.40341714,8430952462.105298,14337221102.51492,,,5698503523.58222,885749.1663793258,1432815.2576059878,205446552.40341714,8430952462.105298,,8430952462.105298,5698503523.58222,205446552.40341714,1432815.2576059878,885749.1663793258,,,,2235697.9852178497,623767.01857699,11640.387176911105,2518962.143249352,87685413.022416,,87685413.022416,2235697.9852178497,2518962.143249352,11640.387176911105,623767.01857699,,
,12/03/2022,1647043200,5756644263.52627,1534604.2855648745,204759878.25945872,7678735574.5328865,13641674320.60418,,,5755763015.994734,881247.5315357434,1534604.2855648745,204759878.25945872,7678735574.5328865,,7678735574.5328865,5755763015.994734,204759878.25945872,1534604.2855648745,881247.5315357434,,,,2246081.2993134786,624998.2493161301,12368.8585924468,2527587.683736066,86501470.930865,,86501470.930865,2246081.2993134786,2527587.683736066,12368.8585924468,624998.2493161301,,
,13/03/2022,1647129600,5815991378.074339,1573470.4812449166,210731793.50903684,7484454265.069678,13512750907.134298,,,5815116380.525296,874997.549042582,1573470.4812449166,210731793.50903684,7484454265.069678,,7484454265.069678,5815116380.525296,210731793.50903684,1573470.4812449166,874997.549042582,,,,2262911.3262088904,624998.2493161301,12680.074794463024,2590433.847683305,86445533.207088,,86445533.207088,2262911.3262088904,2590433.847683305,12680.074794463024,624998.2493161301,,
,14/03/2022,1647216000,5704604675.9098015,1594737.6719505256,205455299.40392008,7545495799.467578,13457150512.45325,,,5703760928.273225,843747.6365767757,1594737.6719505256,205455299.40392008,7545495799.467578,,7545495799.467578,5703760928.273225,205455299.40392008,1594737.6719505256,843747.6365767757,,,,2268672.758188973,624998.2493161301,13603.49459993624,2610945.474697167,86491240.25066,,86491240.25066,2268672.758188973,2610945.474697167,13603.49459993624,624998.2493161301,,
,15/03/2022,1647302400,5978713059.338599,1655876.0942458387,214727003.77156684,8041110351.442191,14236206290.646603,,,5974423010.39312,4290048.945478938,1655876.0942458387,214727003.77156684,8041110351.442191,,8041110351.442191,5974423010.39312,214727003.77156684,1655876.0942458387,4290048.945478938,,,,2306833.9113754765,3131422.58794083,13792.071416340485,2656854.785592265,85380233.079658,,85380233.079658,2306833.9113754765,2656854.785592265,13792.071416340485,3131422.58794083,,
,16/03/2022,1647388800,6575495899.120434,1728790.589311628,223671832.73621044,7495534431.005008,14296430953.450964,,,6571122757.741338,4373141.379095972,1728790.589311628,223671832.73621044,7495534431.005008,,7495534431.005008,6571122757.741338,223671832.73621044,1728790.589311628,4373141.379095972,,,,2504572.926168253,3168943.0283304146,13839.18179083916,2698092.071606881,85390002.631636,,85390002.631636,2504572.926168253,2698092.071606881,13839.18179083916,3168943.0283304146,,
,17/03/2022,1647475200,7077978802.096739,1836291.4952157228,238846247.06501356,7607412447.286699,14926073787.943668,,,7073271468.128855,4707333.967884462,1836291.4952157228,238846247.06501356,7607412447.286699,,7607412447.286699,7073271468.128855,238846247.06501356,1836291.4952157228,4707333.967884462,,,,2556305.396162926,3224201.34786607,14065.809997822464,2733732.941112665,85399780.503892,,85399780.503892,2556305.396162926,2733732.941112665,14065.809997822464,3224201.34786607,,
,18/03/2022,1647561600,7242409985.104874,1895133.00606875,246278489.28960818,7255654449.9520035,14746238057.352554,,,7237709147.132407,4700837.972466111,1895133.00606875,246278489.28960818,7255654449.9520035,,7255654449.9520035,7237709147.132407,246278489.28960818,1895133.00606875,4700837.972466111,,,,2586235.424463528,3241957.2223904217,14161.806950147587,2806272.667383867,84358265.898756,,84358265.898756,2586235.424463528,2806272.667383867,14161.806950147587,3241957.2223904217,,
,19/03/2022,1647648000,7866635795.52847,2784138.5338371024,272760844.1018669,7605189368.345198,15747370146.50937,,,7861608440.974681,5027354.553788953,2784138.5338371024,272760844.1018669,7605189368.345198,,7605189368.345198,7861608440.974681,272760844.1018669,2784138.5338371024,5027354.553788953,,,,2647826.4112030263,3285852.649535264,18422.14341187787,2962537.678960214,85059717.798291,,85059717.798291,2647826.4112030263,2962537.678960214,18422.14341187787,3285852.649535264,,
,20/03/2022,1647734400,8028397663.903962,2696818.4560313206,277333626.3691096,7754563930.495034,16062992039.224136,,,8023314629.48658,5083034.417382374,2696818.4560313206,277333626.3691096,7754563930.495034,,7754563930.495034,8023314629.48658,277333626.3691096,2696818.4560313206,5083034.417382374,,,,2726014.402320769,3344101.590383141,18618.007980885886,3002420.984833924,84721555.014695,,84721555.014695,2726014.402320769,3002420.984833924,18618.007980885886,3344101.590383141,,
