,Date,Timestamp,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment,Sentiment
,14/12/2022,1670976000,3661399.945549842,3661399.945549842,1304759.4734873225,810719.7205786338,1545920.7514838858,,,,,1304759.4734873225,810719.7205786338,1545920.7514838858,,,,,1304779.045173,612.5203769916695,1546471.295265,,,,,1304779.045173,612.5203769916695,1546471.295265,,,,
,15/12/2022,1671062400,3742548.1855693124,3742548.1855693124,1304551.0139806797,902893.1577592778,1535104.013829355,,,,,1304551.0139806797,902893.1577592778,1535104.013829355,,,,,1304933.359455,690.8768653275571,1535219.155266,,,,,1304933.359455,690.8768653275571,1535219.155266,,,,
,16/12/2022,1671148800,3733858.0666755745,3733858.0666755745,1307353.8499726518,877039.8612719309,1549464.3554309919,,,,,1307353.8499726518,877039.8612719309,1549464.3554309919,,,,,1307424.450893,689.1879120770809,1547916.438992,,,,,1307424.450893,689.1879120770809,1547916.438992,,,,
,17/12/2022,1671235200,3696557.0255332016,3696557.0255332016,1308592.50646124,828741.1414790808,1559223.377592881,,,,,1308592.50646124,828741.1414790808,1559223.377592881,,,,,1307285.22124,706.5683995183609,1557665.711881,,,,,1307285.22124,706.5683995183609,1557665.711881,,,,
,18/12/2022,1671321600,3705122.950930128,3705122.950930128,1308653.6271869058,838613.9011762223,1557855.422567,,,,,1308653.6271869058,838613.9011762223,1557855.422567,,,,,1307346.280906,707.7567547841759,1557855.422567,,,,,1307346.280906,707.7567547841759,1557855.422567,,,,
,19/12/2022,1671408000,3730812.288117933,3730812.288117933,1307506.011643,864503.4805793057,1558802.795895628,,,,,1307506.011643,864503.4805793057,1558802.795895628,,,,,1307506.011643,727.0600489296455,1558819.942915,,,,,1307506.011643,727.0600489296455,1558819.942915,,,,
,20/12/2022,1671494400,3723451.7735297484,3723451.7735297484,1308870.458954058,856478.3546346906,1558102.959941,,,,,1308870.458954058,856478.3546346906,1558102.959941,,,,,1307562.896058,731.1454086789457,1558102.959941,,,,,1307562.896058,731.1454086789457,1558102.959941,,,,
,21/12/2022,1671580800,3895653.9083058494,3895653.9083058494,1340300.2496593199,998507.98460863,1556845.6740378998,,,,,1340300.2496593199,998507.98460863,1556845.6740378998,,,,,1337624.99966,826.3468763829965,1558148.286005,,,,,1337624.99966,826.3468763829965,1558148.286005,,,,
,22/12/2022,1671667200,3927217.90031415,3927217.90031415,1339193.9443202317,1001324.4998371699,1586699.456156748,,,,,1339193.9443202317,1001324.4998371699,1586699.456156748,,,,,1337856.088232,822.5512180961522,1583532.391374,,,,,1337856.088232,822.5512180961522,1583532.391374,,,,
,23/12/2022,1671753600,3906917.2988749845,3906917.2988749845,1339329.4452077537,1013157.4554675522,1554430.3981996789,,,,,1339329.4452077537,1013157.4554675522,1554430.3981996789,,,,,1337991.453754,832.2305367730837,1552877.520679,,,,,1337991.453754,832.2305367730837,1552877.520679,,,,
,24/12/2022,1671840000,3683523.0200539846,3683523.0200539846,1344863.4600350948,845672.0915168899,1492987.468502,,,,,1344863.4600350948,845672.0915168899,1492987.468502,,,,,1343519.940095,692.3339649579934,1492987.468502,,,,,1343519.940095,692.3339649579934,1492987.468502,,,,
,25/12/2022,1671926400,3680465.199529735,3680465.199529735,1343900.6323262518,842458.8769563134,1494105.6902471697,,,,,1343900.6323262518,842458.8769563134,1494105.6902471697,,,,,1342558.074252,689.2632311916559,1492613.07717,,,,,1342558.074252,689.2632311916559,1492613.07717,,,,
,26/12/2022,1672012800,3680609.7751240833,3680609.7751240833,1344145.111516207,840972.5735801244,1495492.090027752,,,,,1344145.111516207,840972.5735801244,1495492.090027752,,,,,1342802.309207,690.0684130207474,1492507.075876,,,,,1342802.309207,690.0684130207474,1492507.075876,,,,
,27/12/2022,1672099200,3665554.1359756105,3665554.1359756105,1344174.5626989678,826986.7513236122,1494392.8219530308,,,,,1344174.5626989678,826986.7513236122,1494392.8219530308,,,,,1342831.730968,675.0857146665024,1492899.922031,,,,,1342831.730968,675.0857146665024,1492899.922031,,,,
,28/12/2022,1672185600,3659629.160862771,3659629.160862771,1342960.0286707236,822890.6741468173,1493778.45804523,,,,,1342960.0286707236,822890.6741468173,1493778.45804523,,,,,1343540.43814,680.1929873340144,1494797.91022,,,,,1343540.43814,680.1929873340144,1494797.91022,,,,
,29/12/2022,1672272000,3719552.9994296012,3719552.9994296012,1345084.90358,873815.7288686011,1500652.366981,,,,,1345084.90358,873815.7288686011,1500652.366981,,,,,1345084.90358,732.3235045537676,1500652.366981,,,,,1345084.90358,732.3235045537676,1500652.366981,,,,
,30/12/2022,1672358400,3665186.589409225,3665186.589409225,1346375.388308951,820032.7241672743,1498778.476933,,,,,1346375.388308951,820032.7241672743,1498778.476933,,,,,1345030.357951,683.1101297584838,1498778.476933,,,,,1345030.357951,683.1101297584838,1498778.476933,,,,
,31/12/2022,1672444800,3661065.381430227,3661065.381430227,1345071.79227,820446.8621842269,1495546.726976,,,,,1345071.79227,820446.8621842269,1495546.726976,,,,,1345071.79227,684.7442472618695,1495546.726976,,,,,1345071.79227,684.7442472618695,1495546.726976,,,,
,01/01/2023,1672531200,3638091.220179904,3638091.220179904,1346458.2852901178,804479.5487363508,1487153.3861534349,,,,,1346458.2852901178,804479.5487363508,1487153.3861534349,,,,,1345113.172118,672.9005710694338,1485667.718435,,,,,1345113.172118,672.9005710694338,1485667.718435,,,,
,02/01/2023,1672617600,3648956.198387305,3648956.198387305,1345065.050655,818725.0837625066,1485166.0639697982,,,,,1345065.050655,818725.0837625066,1485166.0639697982,,,,,1345065.050655,683.5868077403222,1485311.624509,,,,,1345065.050655,683.5868077403222,1485311.624509,,,,
