,Date,Timestamp,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,solana-staking,solana,Total,staking,solana-staking,solana,solana,Total,Total,staking,solana-staking,solana,solana,Total,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana
,28/01/2023,1674864000,192407.01533512608,0.000677,0.000677,192407.01533512608,192407.01533512608,0.000067,0.00061,0.000067,0.00061,192407.01533512608,1800855.612354,0.000067,0.00061,0.000067,0.00061,1800855.612354
,29/01/2023,1674950400,152681.9413822092,0.0006777439999999999,0.0006777439999999999,152681.9413822092,152681.9413822092,0.000067134,0.0006106099999999999,0.000067134,0.0006106099999999999,152681.9413822092,1800855.612354,0.000067,0.00061,0.000067,0.00061,1800855.612354
,30/01/2023,1675036800,156117.97389058064,0.000676763551,0.000676763551,156117.97389058064,156117.97389058064,0.000066939231,0.00060982432,0.000066939231,0.00060982432,156117.97389058064,1800855.612354,0.000067,0.00061,0.000067,0.00061,1800855.612354
,31/01/2023,1675123200,190271.20057887424,0.0006775967339999999,0.0006775967339999999,190271.20057887424,190271.20057887424,0.000066986734,0.0006106099999999999,0.000066986734,0.0006106099999999999,190271.20057887424,1800855.612354,0.000067,0.00061,0.000067,0.00061,1800855.612354
,01/02/2023,1675209600,190723.2153375751,0.0006776769999999999,0.0006776769999999999,190723.2153375751,190723.2153375751,0.000067067,0.0006106099999999999,0.000067067,0.0006106099999999999,190723.2153375751,1800855.612354,0.000067,0.00061,0.000067,0.00061,1800855.612354
,02/02/2023,1675296000,189736.88980705146,0.00067640383,0.00067640383,189736.88980705146,189736.88980705146,0.000067134,0.00060926983,0.000067134,0.00060926983,189736.88980705146,1800912.04874,0.000067,0.00061,0.000067,0.00061,1800912.04874
,03/02/2023,1675382400,160494.98563954057,0.0006777439999999999,0.0006777439999999999,160494.98563954057,160494.98563954057,0.000067134,0.0006106099999999999,0.000067134,0.0006106099999999999,160494.98563954057,1799412.348946,0.000067,0.00061,0.000067,0.00061,1799412.348946
,04/02/2023,1675468800,190378.11957581123,0.000122055,0.000122055,190378.11957581123,190378.11957581123,0.000067,0.000055054999999999994,0.000067,0.000055054999999999994,190378.11957581123,1799415.118864,0.000067,0.000055,0.000067,0.000055,1799415.118864
,05/02/2023,1675555200,190004.6213202553,0.000121940199,0.000121940199,190004.6213202553,190004.6213202553,0.000066964289,0.00005497591,0.000066964289,0.00005497591,190004.6213202553,1799456.589831,0.000067,0.000055,0.000067,0.000055,1799456.589831
,06/02/2023,1675641600,190479.4735028422,0.000122066175,0.000122066175,190479.4735028422,190479.4735028422,0.000067067,0.000054999175000000005,0.000067067,0.000054999175000000005,190479.4735028422,1798639.057835,0.000067,0.000055,0.000067,0.000055,1798639.057835
