,Date,Timestamp,Liquity,Liquity,Liquity,Liquity,Liquity,Liquity
,,,CDP,CDP,CDP,CDP,CDP,CDP
,,,ethereum,Total,ethereum,Total,ethereum,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens,Tokens
,,,,,WETH,WETH,WETH,WETH
,18/04/2022,1650240000,1121069083.0202217,1121069083.0202217,1121069083.0202217,1121069083.0202217,374516.1265927552,374516.1265927552
,19/04/2022,1650326400,1146556749.5503197,1146556749.5503197,1146556749.5503197,1146556749.5503197,374607.27795050124,374607.27795050124
,20/04/2022,1650412800,1163041332.6152563,1163041332.6152563,1163041332.6152563,1163041332.6152563,374838.47795050126,374838.47795050126
,21/04/2022,1650499200,1152735708.8227623,1152735708.8227623,1152735708.8227623,1152735708.8227623,373938.2515993377,373938.2515993377
,22/04/2022,1650585600,1103928812.57981,1103928812.57981,1103928812.57981,1103928812.57981,370957.53289933765,370957.53289933765
,23/04/2022,1650672000,1099451798.3064125,1099451798.3064125,1099451798.3064125,1099451798.3064125,371173.0860897379,371173.0860897379
,24/04/2022,1650758400,1090321960.2250051,1090321960.2250051,1090321960.2250051,1090321960.2250051,371001.6673897379,371001.6673897379
,25/04/2022,1650844800,1085561412.789593,1085561412.789593,1085561412.789593,1085561412.789593,370991.3204867872,370991.3204867872
,26/04/2022,1650931200,1119364552.8106196,1119364552.8106196,1119364552.8106196,1119364552.8106196,370953.9102546187,370953.9102546187
,27/04/2022,1651017600,1038216125.730261,1038216125.730261,1038216125.730261,1038216125.730261,371016.7336348,371016.7336348
,28/04/2022,1651104000,1054158780.7351171,1054158780.7351171,1054158780.7351171,1054158780.7351171,365363.8637942615,365363.8637942615
,29/04/2022,1651190400,1072967879.3817195,1072967879.3817195,1072967879.3817195,1072967879.3817195,365827.3227599547,365827.3227599547
,30/04/2022,1651276800,1029892776.8797121,1029892776.8797121,1029892776.8797121,1029892776.8797121,364692.9096599547,364692.9096599547
,01/05/2022,1651363200,997721332.2306563,997721332.2306563,997721332.2306563,997721332.2306563,365064.5196599547,365064.5196599547
,02/05/2022,1651449600,1038699970.4087002,1038699970.4087002,1038699970.4087002,1038699970.4087002,365139.00396485365,365139.00396485365
,03/05/2022,1651536000,1035776386.7154243,1035776386.7154243,1035776386.7154243,1035776386.7154243,364959.29850511416,364959.29850511416
,04/05/2022,1651622400,1019003998.022583,1019003998.022583,1019003998.022583,1019003998.022583,364797.696672293,364797.696672293
,05/05/2022,1651708800,1071436534.9739814,1071436534.9739814,1071436534.9739814,1071436534.9739814,363756.17385756527,363756.17385756527
,06/05/2022,1651795200,1002332764.3302628,1002332764.3302628,1002332764.3302628,1002332764.3302628,365924.38771101675,365924.38771101675
,07/05/2022,1651881600,988269311.9023763,988269311.9023763,988269311.9023763,988269311.9023763,367348.1243225152,367348.1243225152
,08/05/2022,1651968000,967550745.53286,967550745.53286,967550745.53286,967550745.53286,366944.0550720424,366944.0550720424
,09/05/2022,1652054400,912267624.1450689,912267624.1450689,912267624.1450689,912267624.1450689,361517.4619349257,361517.4619349257
,10/05/2022,1652140800,807909003.9069021,807909003.9069021,807909003.9069021,807909003.9069021,356979.56146082154,356979.56146082154
,11/05/2022,1652227200,839931182.0709586,839931182.0709586,839931182.0709586,839931182.0709586,358505.2444527262,358505.2444527262
,12/05/2022,1652313600,747333031.2371943,747333031.2371943,747333031.2371943,747333031.2371943,348333.93052142643,348333.93052142643
,13/05/2022,1652400000,665399336.7076887,665399336.7076887,665399336.7076887,665399336.7076887,337622.2000302859,337622.2000302859
,14/05/2022,1652486400,676648348.6458294,676648348.6458294,676648348.6458294,676648348.6458294,332691.703777954,332691.703777954
,15/05/2022,1652572800,672576660.9460794,672576660.9460794,672576660.9460794,672576660.9460794,327096.9073757803,327096.9073757803
,16/05/2022,1652659200,696148500.8585535,696148500.8585535,696148500.8585535,696148500.8585535,328034.6157529303,328034.6157529303
,17/05/2022,1652745600,674954042.1680816,674954042.1680816,674954042.1680816,674954042.1680816,329297.276730066,329297.276730066
,18/05/2022,1652832000,691517225.7228745,691517225.7228745,691517225.7228745,691517225.7228745,329596.83219476684,329596.83219476684
,19/05/2022,1652918400,633861188.3373736,633861188.3373736,633861188.3373736,633861188.3373736,327446.5397941768,327446.5397941768
,20/05/2022,1653004800,652615985.0078245,652615985.0078245,652615985.0078245,652615985.0078245,324537.6396794608,324537.6396794608
,21/05/2022,1653091200,636069902.5213369,636069902.5213369,636069902.5213369,636069902.5213369,323829.8870901466,323829.8870901466
,22/05/2022,1653177600,641416089.8975645,641416089.8975645,641416089.8975645,641416089.8975645,323877.1831862598,323877.1831862598
,23/05/2022,1653264000,660979719.5724603,660979719.5724603,660979719.5724603,660979719.5724603,323400.9117995833,323400.9117995833
,24/05/2022,1653350400,642907116.466778,642907116.466778,642907116.466778,642907116.466778,323145.22347829794,323145.22347829794
,25/05/2022,1653436800,642003081.1480889,642003081.1480889,642003081.1480889,642003081.1480889,324852.66896462004,324852.66896462004
,26/05/2022,1653523200,637594101.7329806,637594101.7329806,637594101.7329806,637594101.7329806,327697.30980067665,327697.30980067665
,27/05/2022,1653609600,588733080.2606692,588733080.2606692,588733080.2606692,588733080.2606692,325387.3424199396,325387.3424199396
,28/05/2022,1653696000,586353680.1079745,586353680.1079745,586353680.1079745,586353680.1079745,336159.9294306355,336159.9294306355
,29/05/2022,1653782400,603126575.6618047,603126575.6618047,603126575.6618047,603126575.6618047,336295.93165191176,336295.93165191176
,30/05/2022,1653868800,607440308.4821432,607440308.4821432,607440308.4821432,607440308.4821432,335806.4616519117,335806.4616519117
,31/05/2022,1653955200,669903917.8433076,669903917.8433076,669903917.8433076,669903917.8433076,336253.2590341158,336253.2590341158
,01/06/2022,1654041600,656481208.6781584,656481208.6781584,656481208.6781584,656481208.6781584,336494.82233085507,336494.82233085507
,02/06/2022,1654128000,616926607.0086728,616926607.0086728,616926607.0086728,616926607.0086728,339283.84828230063,339283.84828230063
,03/06/2022,1654214400,620653088.9613618,620653088.9613618,620653088.9613618,620653088.9613618,339293.74823636014,339293.74823636014
,04/06/2022,1654300800,604289579.3905096,604289579.3905096,604289579.3905096,604289579.3905096,340279.96541985834,340279.96541985834
,05/06/2022,1654387200,613936608.7300899,613936608.7300899,613936608.7300899,613936608.7300899,340157.46857378964,340157.46857378964
,06/06/2022,1654473600,633317303.6540594,633317303.6540594,633317303.6540594,633317303.6540594,350462.5135737896,350462.5135737896
,07/06/2022,1654560000,623566729.4097459,623566729.4097459,623566729.4097459,623566729.4097459,354206.7013222373,354206.7013222373
,08/06/2022,1654646400,652626004.3378029,652626004.3378029,652626004.3378029,652626004.3378029,358508.8933348364,358508.8933348364
,09/06/2022,1654732800,644317068.3620949,644317068.3620949,644317068.3620949,644317068.3620949,359626.18864502985,359626.18864502985
,10/06/2022,1654819200,643616042.1273029,643616042.1273029,643616042.1273029,643616042.1273029,359680.5886450299,359680.5886450299
,11/06/2022,1654905600,601713567.6031297,601713567.6031297,601713567.6031297,601713567.6031297,357917.834579383,357917.834579383
,12/06/2022,1654992000,588578266.3804302,588578266.3804302,588578266.3804302,588578266.3804302,382703.1219353231,382703.1219353231
,13/06/2022,1655078400,541085608.6803031,541085608.6803031,541085608.6803031,541085608.6803031,382138.7973221345,382138.7973221345
,14/06/2022,1655164800,464249993.3908578,464249993.3908578,464249993.3908578,464249993.3908578,386952.3849693754,386952.3849693754
,15/06/2022,1655251200,450139631.57276237,450139631.57276237,450139631.57276237,450139631.57276237,369481.76276185043,369481.76276185043
,16/06/2022,1655337600,460893020.27690333,460893020.27690333,460893020.27690333,460893020.27690333,375558.59607641934,375558.59607641934
,17/06/2022,1655424000,412315166.0151569,412315166.0151569,412315166.0151569,412315166.0151569,387310.40619143774,387310.40619143774
,18/06/2022,1655510400,427842453.17287844,427842453.17287844,427842453.17287844,427842453.17287844,392091.54600787995,392091.54600787995
,19/06/2022,1655596800,328313942.4789642,328313942.4789642,328313942.4789642,328313942.4789642,330538.4663575505,330538.4663575505
,20/06/2022,1655683200,375688135.60466224,375688135.60466224,375688135.60466224,375688135.60466224,343668.53792608855,343668.53792608855
,21/06/2022,1655769600,386495324.2520329,386495324.2520329,386495324.2520329,386495324.2520329,344574.40244996955,344574.40244996955
,22/06/2022,1655856000,386509030.90699583,386509030.90699583,386509030.90699583,386509030.90699583,346169.85742165084,346169.85742165084
,23/06/2022,1655942400,375476183.86201537,375476183.86201537,375476183.86201537,375476183.86201537,348764.32426644815,348764.32426644815
,24/06/2022,1656028800,402238919.6431773,402238919.6431773,402238919.6431773,402238919.6431773,351859.65433543036,351859.65433543036
,25/06/2022,1656115200,424824855.8328468,424824855.8328468,424824855.8328468,424824855.8328468,348251.34917602286,348251.34917602286
,26/06/2022,1656201600,431107525.7167485,431107525.7167485,431107525.7167485,431107525.7167485,347796.3806869875,347796.3806869875
,27/06/2022,1656288000,417411915.19692093,417411915.19692093,417411915.19692093,417411915.19692093,347461.0555030474,347461.0555030474
,28/06/2022,1656374400,409705638.47910845,409705638.47910845,409705638.47910845,409705638.47910845,346967.0555030474,346967.0555030474
,29/06/2022,1656460800,390761052.2008945,390761052.2008945,390761052.2008945,390761052.2008945,340817.6358442745,340817.6358442745
,30/06/2022,1656547200,362927716.9663813,362927716.9663813,362927716.9663813,362927716.9663813,331743.7997864546,331743.7997864546
